EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5311384,E CENTRAL S.J. VALLEY (ZONE), ,07/09/2002,1530,Heat, , ,2,0,0,0,CA,PST, ,1139974,Z,90,HNX,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , , ,07/15/2002,2000, , , , ,"","Strong high pressure over the Western United States coupled with subtropical moisture flowing northwestward into Central California produced near-record high temperatures, record high minimum temperatures, and Heat Index readings above 105F from the 9th through the 15th of the month. Humidities were elevated while temperatures reached over 100F in locations throughout the Central and Southern San Joaquin Valley during this period. As an example on one of the hottest days, the 11th, the highest temperatures included 108F at Lemoore, Bakersfield, and Taft, 109F at Fresno and Arvin, 110F at Delano, and 111F at Wasco. In other areas of California, Southern Oregon, and Nevada numerous high and low temperature records were set during this time period.",1
5355414,E CENTRAL S.J. VALLEY (ZONE), ,05/28/2003,1400,Heat, , ,0,0,0,0,CA,PST, ,1151541,Z,90,HNX,0,0,OFFICIAL NWS OBS., , , , , , , , ,05/28/2003,1900, , , , ,"","Unusually early heat brought record high temperatures to the Kern County Mountains and Deserts on the 28th. Temperatures climbed to 109F at China Lake on the desert floor and even reached 96F at Tehachapi at the 4000 foot level in the Kern County Mountains. On the San Joaquin Valley floor Fresno climbed to 105F and Bakersfield to 106F.",2
5359430,E CENTRAL S.J. VALLEY (ZONE), ,06/02/2003,1200,Heat, , ,0,0,0,0,CA,PST, ,1153154,Z,90,HNX,0,0,OFFICIAL NWS OBS., , , , , , , , ,06/03/2003,1800, , , , ,"","The first major warm spell came upon Interior Central California suddenly at the first of June after a relatively cool April and May time period. Several high minimum temperature records were set on the morning of the 3rd beneath strong high pressure and light wind conditions for the Central and South San Joaquin Valley.",3
5359491,E CENTRAL S.J. VALLEY (ZONE), ,06/25/2003,1500,Heat, , ,0,0,0,0,CA,PST, ,1153165,Z,90,HNX,0,0,OFFICIAL NWS OBS., , , , , , , , ,06/29/2003,1800, , , , ,"","Like the first part of the month, June ended with a persistent warm spell where high temperatures in the Central and Southern San Joaquin Valley were consistently 100 degrees F. or above for a stretch of 5 days.",4
5367128,E CENTRAL S.J. VALLEY (ZONE), ,07/01/2003,1500,Heat, , ,0,0,0,1000,CA,PST, ,1156034,Z,90,HNX,0,0,OFFICIAL NWS OBS., , , , , , , , ,07/30/2003,600, , , , ,"","A consistently hot July was noted in Interior Central California denoted by the average high temperature of 101F at Fresno CA. During the month in the Central San Joaquin Valley, Fresno recorded 22 days of 100F or above which ties the 3rd highest number set in 1891. Similar conditions were noted at Bakersfield in the Southern San Joaquin Valley, adjacent foothill locations, and in the Kern Deserts. Furthermore, a relatively consistent wind flow aloft from the southeast brought monsoonal moisture over the area several times during the month providing for high minimum temperatures and several records due to the above normal amount of moist air over the area. Bakersfield in the South Valley tied its overall high minimum temperature with an 86F on the 29th. Several daily rainfall records were set even though amounts may not have been high (the area is not known for having rainfall in the July time period). There were unquantifiable losses to various grape crops on the East Side of the San Joaquin Valley, especially the Flame variety, due to the extended period of time with high heat.",5
5336806,E CENTRAL S.J. VALLEY (ZONE), ,10/01/2003,0,Heat, , ,0,0,0,0,CA,PST, ,1162992,Z,90,HNX,0,0,OFFICIAL NWS OBS., , , , , , , , ,10/29/2003,2359, , , , ,"","Not only remaining dry but for almost the entire month of October temperatures generally were above normal for Interior Central California. The advent of the cool season was delayed as maximum temperatures managed to remain in the 80s for the San Joaquin Valley for many days in the month and reach into the mid 90s and warmer locations. Kern Desert areas reached the mid 90s several days. The relatively warmest days were the 18th and 21st when Fresno climbed to a high of 93F compared to a normal high of only 76F...16 and 17 deg F above normal, respectively, for the dates.",6
5336808,S SIERRA MTNS (ZONE), ,10/01/2003,0,Heat, , ,0,0,0,0,CA,PST, ,1162992,Z,96,HNX,0,0,OFFICIAL NWS OBS., , , , , , , , ,10/29/2003,2359, , , , ,"","Not only remaining dry but for almost the entire month of October temperatures generally were above normal for Interior Central California. The advent of the cool season was delayed as maximum temperatures managed to remain in the 80s for the San Joaquin Valley for many days in the month and reach into the mid 90s and warmer locations. Kern Desert areas reached the mid 90s several days. The relatively warmest days were the 18th and 21st when Fresno climbed to a high of 93F compared to a normal high of only 76F...16 and 17 deg F above normal, respectively, for the dates.",7
5384872,E CENTRAL S.J. VALLEY (ZONE), ,03/11/2004,1400,Heat, , ,0,0,0,0,CA,PST, ,1166114,Z,90,HNX,0,0,OFFICIAL NWS OBS., , , , , , , , ,03/22/2004,1800, , , , ,"","Two of the three normally wettest months had extensive dry spells over the course of the 2003/2004 wet season in Interior Central California. To underscore the significance of the March dry spell, Fresno had only 40% of its normal rainfall in January with much of that amount falling within the first 3 days of the month and only 80% of its normal rain for February. February mountain rainfall was closer to normal.  But during March there were just two brief episodes of rain for the Central and South San Joaquin Valley and though the amounts were significant there was over 3 weeks of no rain accompanied by much above temperatures. Bakersfield tied or broke a total of 25 temperature records during the month including the warmest March on record eclipsing the old record set in 1934. Fresno had 11 days where maximum temperatures climbed to 80F or above resetting the 1972 record of 10 days. In the South Valley Bakersfield had 17 days of 80F or higher resetting its record of 16 days set in 1934. During March in Bakersfield 3 of the days had readings greater than 90F including a 94F high temperature on the 29th which was the warmest reading on record for the month. With the unseasonable warmth and long periods of dry weather in what is normally a wet month, the snowpack in the adjacent mountains began its Spring melt much sooner than normal.",8
5387280,E CENTRAL S.J. VALLEY (ZONE), ,04/25/2004,1300,Heat, , ,0,0,0,0,CA,PST, ,1166876,Z,90,HNX,0,0,OFFICIAL NWS OBS., , , , , , , , ,04/28/2004,2100, , , , ,"","During the month of April the second of two warm spells pushed maximum temperatures to record levels in the San Joaquin Valley, Southern Sierra Nevada Mountains and Foothills, and the Kern County Mountains and Deserts of Interior Central California. Average temperatures for the 9th to the 12th and the 25th to the 28th in the area ran 10 degrees or more above normal. Combined with much below normal rainfall in March, dry conditions prevailed prematurely by the end of April throughout the region.",9
5387282,S SIERRA MTNS (ZONE), ,04/25/2004,1300,Heat, , ,0,0,0,0,CA,PST, ,1166876,Z,96,HNX,0,0,OFFICIAL NWS OBS., , , , , , , , ,04/28/2004,2100, , , , ,"","During the month of April the second of two warm spells pushed maximum temperatures to record levels in the San Joaquin Valley, Southern Sierra Nevada Mountains and Foothills, and the Kern County Mountains and Deserts of Interior Central California. Average temperatures for the 9th to the 12th and the 25th to the 28th in the area ran 10 degrees or more above normal. Combined with much below normal rainfall in March, dry conditions prevailed prematurely by the end of April throughout the region.",10
