EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5341867,S SIERRA MTNS (ZONE), ,01/01/2003,0,Drought, , ,0,0,0,0,CA,PST, ,1146985,Z,96,HNX,0,0,METEOROLOGIST(NON NWS), , , , , , , , ,01/31/2003,2359, , , , ,"","Rainfall for the month of January was much below normal for Interior Central California as well as much of the state of California. The rainfall for this critical rain/snowfall month was only 58% of normal over the northern portion of the state.  In the center portion of the state, Fresno received only 0.40" thereby ending 1.76" below normal for the month (19% of normal).  Bakersfield had only 0.01" of rain and that was 1.17" below its normal. Comparable poor amounts of rain/snow were received in the adjacent mountains for water storage for the upcoming summer.",1
5341866,E CENTRAL S.J. VALLEY (ZONE), ,01/01/2003,0,Drought, , ,0,0,0,0,CA,PST, ,1146985,Z,90,HNX,0,0,METEOROLOGIST(NON NWS), , , , , , , , ,01/31/2003,2359, , , , ,"","Rainfall for the month of January was much below normal for Interior Central California as well as much of the state of California. The rainfall for this critical rain/snowfall month was only 58% of normal over the northern portion of the state.  In the center portion of the state, Fresno received only 0.40" thereby ending 1.76" below normal for the month (19% of normal).  Bakersfield had only 0.01" of rain and that was 1.17" below its normal. Comparable poor amounts of rain/snow were received in the adjacent mountains for water storage for the upcoming summer.",2
5342721,S SIERRA MTNS (ZONE), ,02/01/2003,0,Drought, , ,0,0,0,0,CA,PST, ,1147496,Z,96,HNX,0,0,OFFICIAL NWS OBS., , , , , , , , ,02/28/2003,2359, , , , ,"","With relatively mild temperatures, drier than normal conditions continue for the cool season of Interior Central California.  Rainfall totals for areas north of the Tehachapi Mountains ranged from only 37% to 67% of normal for the month of February.",3
5412096,E CENTRAL S.J. VALLEY (ZONE), ,08/01/2004,0,Drought, , ,0,0,0,0,CA,PST, ,1175960,Z,90,HNX,0,0,NEWSPAPER, , , , , , , , ,08/31/2004,2359, , , , ,"","Three plus years of below-average rainfall took a toll on the groundwater supplies in Interior Central California by the month of August. The 2003-2004 water year provided only about 65% of normal rainfall: Visalia 6.27 inches of rain; Fresno 7.5"; and, Bakersfield 4.63".",4
5422818,E CENTRAL S.J. VALLEY (ZONE), ,09/01/2004,0,Drought, , ,0,0,0,0,CA,PST, ,1180285,Z,90,HNX,0,0,OFFICIAL NWS OBS., , , , , , , , ,09/26/2004,2359, , , , ,"","The March through May 2004 time period was the 2nd driest on record for the South-Central portion of California as determined by rainfall for the Kern County Mountains and Tulare County Mountains of the Southern Sierra Nevada. Below normal for all of the Southern Sierra Nevada rivers, the Kern River April through July snow melt was only 48% of normal determined by the inflow to Lake Isabella Reservoir. The previous six California Water Years (July through June) have averaged only 81% of normal precipitation. The dry conditions for the 6-year period were actually much worse as 5 of the years averaged approximately 70% of normal rainfall.",5
498460,S SIERRA FOOTHILLS (ZONE), ,01/01/2014,0,Drought, , ,0,0,0,0,CA,PST-8, ,82727,Z,93,HNX,0,0,Emergency Manager, , , , , , , , ,01/31/2014,2359, , , , ,"","The California drought continued in full force during the month of January, 2014.  Extreme drought was detected by the U.S. Drought Monitor for much of the region, with exceptional drought detected along the west side of the San Joaquin Valley.  For California as a whole, 2013 was the driest year on record. As  the 2013-2014 winter progresses, little rain has fallen across California. ||On January 17th, Governor Jerry Brown declared a drought emergency for the entire state of California. Impacts to the region included: loss of ground water pumping ability, aggressive conservation efforts within many valley communities, lack of well drilling access, ground subsidence along the west side of the San Joaquin Valley, and increasing unemployment due to lack of agricultural employment.  ||There continues to be significant media coverage on the on-going drought conditions. These reports include discussion of significant re-allocation of water resources from the east to west side of the San Joaquin Valley, farmers forgoing planting of some crops, a decrease in the snow-related tourism activity in the Southern Sierra Nevada, reduction in air quality due to persistent stagnant air, loss or reduction of ground water, and an unprecedented increase in fire danger across the Southern Sierra Nevada and Tehachapi Mountains. For the first time on record, red flag warnings were issued in January for not only the Southern Sierra Nevada and the Tehachapi Mountains but also the south end of the San Joaquin Valley.||January, 2014 was the 2nd warmest on record in both Bakersfield and Fresno, at 54.2 degrees and 53.2 degrees, respectively.  January was the 7th driest on record for Bakersfield, at 0.12 inches, and the 26th driest at Fresno, with 0.57 inches.",6
498463,S SIERRA MTNS (ZONE), ,01/01/2014,0,Drought, , ,0,0,0,0,CA,PST-8, ,82727,Z,96,HNX,0,0,Emergency Manager, , , , , , , , ,01/31/2014,2359, , , , ,"","The California drought continued in full force during the month of January, 2014.  Extreme drought was detected by the U.S. Drought Monitor for much of the region, with exceptional drought detected along the west side of the San Joaquin Valley.  For California as a whole, 2013 was the driest year on record. As  the 2013-2014 winter progresses, little rain has fallen across California. ||On January 17th, Governor Jerry Brown declared a drought emergency for the entire state of California. Impacts to the region included: loss of ground water pumping ability, aggressive conservation efforts within many valley communities, lack of well drilling access, ground subsidence along the west side of the San Joaquin Valley, and increasing unemployment due to lack of agricultural employment.  ||There continues to be significant media coverage on the on-going drought conditions. These reports include discussion of significant re-allocation of water resources from the east to west side of the San Joaquin Valley, farmers forgoing planting of some crops, a decrease in the snow-related tourism activity in the Southern Sierra Nevada, reduction in air quality due to persistent stagnant air, loss or reduction of ground water, and an unprecedented increase in fire danger across the Southern Sierra Nevada and Tehachapi Mountains. For the first time on record, red flag warnings were issued in January for not only the Southern Sierra Nevada and the Tehachapi Mountains but also the south end of the San Joaquin Valley.||January, 2014 was the 2nd warmest on record in both Bakersfield and Fresno, at 54.2 degrees and 53.2 degrees, respectively.  January was the 7th driest on record for Bakersfield, at 0.12 inches, and the 26th driest at Fresno, with 0.57 inches.",7
498457,E CENTRAL S.J. VALLEY (ZONE), ,01/01/2014,0,Drought, , ,0,0,0,0,CA,PST-8, ,82727,Z,90,HNX,0,0,Emergency Manager, , , , , , , , ,01/31/2014,2359, , , , ,"","The California drought continued in full force during the month of January, 2014.  Extreme drought was detected by the U.S. Drought Monitor for much of the region, with exceptional drought detected along the west side of the San Joaquin Valley.  For California as a whole, 2013 was the driest year on record. As  the 2013-2014 winter progresses, little rain has fallen across California. ||On January 17th, Governor Jerry Brown declared a drought emergency for the entire state of California. Impacts to the region included: loss of ground water pumping ability, aggressive conservation efforts within many valley communities, lack of well drilling access, ground subsidence along the west side of the San Joaquin Valley, and increasing unemployment due to lack of agricultural employment.  ||There continues to be significant media coverage on the on-going drought conditions. These reports include discussion of significant re-allocation of water resources from the east to west side of the San Joaquin Valley, farmers forgoing planting of some crops, a decrease in the snow-related tourism activity in the Southern Sierra Nevada, reduction in air quality due to persistent stagnant air, loss or reduction of ground water, and an unprecedented increase in fire danger across the Southern Sierra Nevada and Tehachapi Mountains. For the first time on record, red flag warnings were issued in January for not only the Southern Sierra Nevada and the Tehachapi Mountains but also the south end of the San Joaquin Valley.||January, 2014 was the 2nd warmest on record in both Bakersfield and Fresno, at 54.2 degrees and 53.2 degrees, respectively.  January was the 7th driest on record for Bakersfield, at 0.12 inches, and the 26th driest at Fresno, with 0.57 inches.",8
510020,S SIERRA MTNS (ZONE), ,02/01/2014,0,Drought, , ,0,0,0,0,CA,PST-8, ,84477,Z,96,HNX,0,0,Emergency Manager, , , , , , , , ,02/28/2014,2359, , , , ,"","The California drought continued in full force during the month of February, 2014. Extreme drought was detected by the U.S. Drought Monitor for much of the region, with exceptional drought detected along the west side of the San Joaquin Valley. For California as a whole, 2013 was the driest year on record. As the 2013-2014 winter progresses, little rain has fallen across California. ||There continues to be significant media coverage on the on-going drought conditions. These reports include discussion of significant re-allocation of water resources from the east to west side of the San Joaquin Valley, farmers forgoing planting of some crops, a decrease in the snow-related tourism activity in the Southern Sierra Nevada, reduction in air quality due to persistent stagnant air, loss or reduction of ground water, and an unprecedented increase in fire danger across the Southern Sierra Nevada and Tehachapi Mountains. For the first time on record, red flag warnings were issued in January for not only the Southern Sierra Nevada and the Tehachapi Mountains but also the south end of the San Joaquin Valley.",9
510017,S SIERRA FOOTHILLS (ZONE), ,02/01/2014,0,Drought, , ,0,0,0,0,CA,PST-8, ,84477,Z,93,HNX,0,0,Emergency Manager, , , , , , , , ,02/28/2014,2359, , , , ,"","The California drought continued in full force during the month of February, 2014. Extreme drought was detected by the U.S. Drought Monitor for much of the region, with exceptional drought detected along the west side of the San Joaquin Valley. For California as a whole, 2013 was the driest year on record. As the 2013-2014 winter progresses, little rain has fallen across California. ||There continues to be significant media coverage on the on-going drought conditions. These reports include discussion of significant re-allocation of water resources from the east to west side of the San Joaquin Valley, farmers forgoing planting of some crops, a decrease in the snow-related tourism activity in the Southern Sierra Nevada, reduction in air quality due to persistent stagnant air, loss or reduction of ground water, and an unprecedented increase in fire danger across the Southern Sierra Nevada and Tehachapi Mountains. For the first time on record, red flag warnings were issued in January for not only the Southern Sierra Nevada and the Tehachapi Mountains but also the south end of the San Joaquin Valley.",10
510014,E CENTRAL S.J. VALLEY (ZONE), ,02/01/2014,0,Drought, , ,0,0,0,0,CA,PST-8, ,84477,Z,90,HNX,0,0,Emergency Manager, , , , , , , , ,02/28/2014,2359, , , , ,"","The California drought continued in full force during the month of February, 2014. Extreme drought was detected by the U.S. Drought Monitor for much of the region, with exceptional drought detected along the west side of the San Joaquin Valley. For California as a whole, 2013 was the driest year on record. As the 2013-2014 winter progresses, little rain has fallen across California. ||There continues to be significant media coverage on the on-going drought conditions. These reports include discussion of significant re-allocation of water resources from the east to west side of the San Joaquin Valley, farmers forgoing planting of some crops, a decrease in the snow-related tourism activity in the Southern Sierra Nevada, reduction in air quality due to persistent stagnant air, loss or reduction of ground water, and an unprecedented increase in fire danger across the Southern Sierra Nevada and Tehachapi Mountains. For the first time on record, red flag warnings were issued in January for not only the Southern Sierra Nevada and the Tehachapi Mountains but also the south end of the San Joaquin Valley.",11
510025,E CENTRAL S.J. VALLEY (ZONE), ,03/01/2014,0,Drought, , ,0,0,0,0,CA,PST-8, ,84479,Z,90,HNX,0,0,Emergency Manager, , , , , , , , ,03/31/2014,2359, , , , ,"","The California drought continued in full force during the month of March, 2014. Extreme to Exceptional drought was detected by the U.S. Drought Monitor for almost the entire Central California region.  This extent of exceptional drought is extremely unusual for California.  In addition precipitation deficits began to mount as the region was nearing the end of the bulk of the rainy season with continued deficits.  As the 2013-2014 winter progresses, little rain has fallen across California. ||There continues to be significant media coverage on the on-going drought conditions. These reports include discussion of significant re-allocation of water resources from the east to west side of the San Joaquin Valley, farmers forgoing planting of some crops, a decrease in the snow-related tourism activity in the Southern Sierra Nevada, reduction in air quality due to persistent stagnant air, loss or reduction of ground water, and an unprecedented increase in fire danger across the Southern Sierra Nevada and Tehachapi Mountains. For the first time on record, red flag warnings were issued in January for not only the Southern Sierra Nevada and the Tehachapi Mountains but also the south end of the San Joaquin Valley.",12
510031,S SIERRA MTNS (ZONE), ,03/01/2014,0,Drought, , ,0,0,0,0,CA,PST-8, ,84479,Z,96,HNX,0,0,Emergency Manager, , , , , , , , ,03/31/2014,2359, , , , ,"","The California drought continued in full force during the month of March, 2014. Extreme to Exceptional drought was detected by the U.S. Drought Monitor for almost the entire Central California region.  This extent of exceptional drought is extremely unusual for California.  In addition precipitation deficits began to mount as the region was nearing the end of the bulk of the rainy season with continued deficits.  As the 2013-2014 winter progresses, little rain has fallen across California. ||There continues to be significant media coverage on the on-going drought conditions. These reports include discussion of significant re-allocation of water resources from the east to west side of the San Joaquin Valley, farmers forgoing planting of some crops, a decrease in the snow-related tourism activity in the Southern Sierra Nevada, reduction in air quality due to persistent stagnant air, loss or reduction of ground water, and an unprecedented increase in fire danger across the Southern Sierra Nevada and Tehachapi Mountains. For the first time on record, red flag warnings were issued in January for not only the Southern Sierra Nevada and the Tehachapi Mountains but also the south end of the San Joaquin Valley.",13
510028,S SIERRA FOOTHILLS (ZONE), ,03/01/2014,0,Drought, , ,0,0,0,0,CA,PST-8, ,84479,Z,93,HNX,0,0,Emergency Manager, , , , , , , , ,03/31/2014,2359, , , , ,"","The California drought continued in full force during the month of March, 2014. Extreme to Exceptional drought was detected by the U.S. Drought Monitor for almost the entire Central California region.  This extent of exceptional drought is extremely unusual for California.  In addition precipitation deficits began to mount as the region was nearing the end of the bulk of the rainy season with continued deficits.  As the 2013-2014 winter progresses, little rain has fallen across California. ||There continues to be significant media coverage on the on-going drought conditions. These reports include discussion of significant re-allocation of water resources from the east to west side of the San Joaquin Valley, farmers forgoing planting of some crops, a decrease in the snow-related tourism activity in the Southern Sierra Nevada, reduction in air quality due to persistent stagnant air, loss or reduction of ground water, and an unprecedented increase in fire danger across the Southern Sierra Nevada and Tehachapi Mountains. For the first time on record, red flag warnings were issued in January for not only the Southern Sierra Nevada and the Tehachapi Mountains but also the south end of the San Joaquin Valley.",14
510036,E CENTRAL S.J. VALLEY (ZONE), ,04/01/2014,0,Drought, , ,0,0,0,0,CA,PST-8, ,84480,Z,90,HNX,0,0,Emergency Manager, , , , , , , , ,04/30/2014,2359, , , , ,"","The California drought continued in full force during the month of April, 2014. Extreme to Exceptional drought was detected by the U.S. Drought Monitor for almost the entire Central California region.  This extent of exceptional drought is extremely unusual for California.  In addition precipitation deficits began to mount as the region was nearing the end of the bulk of the rainy season with continued deficits.  As the 2013-2014 winter progresses, little rain has fallen across California. ||There continues to be significant media coverage on the on-going drought conditions. These reports include discussion of significant re-allocation of water resources from the east to west side of the San Joaquin Valley, farmers forgoing planting of some crops, a decrease in the snow-related tourism activity in the Southern Sierra Nevada, reduction in air quality due to persistent stagnant air, loss or reduction of ground water, and an unprecedented increase in fire danger across the Southern Sierra Nevada and Tehachapi Mountains. For the first time on record, red flag warnings were issued in January for not only the Southern Sierra Nevada and the Tehachapi Mountains but also the south end of the San Joaquin Valley.",15
510042,S SIERRA MTNS (ZONE), ,04/01/2014,0,Drought, , ,0,0,0,0,CA,PST-8, ,84480,Z,96,HNX,0,0,Emergency Manager, , , , , , , , ,04/30/2014,2359, , , , ,"","The California drought continued in full force during the month of April, 2014. Extreme to Exceptional drought was detected by the U.S. Drought Monitor for almost the entire Central California region.  This extent of exceptional drought is extremely unusual for California.  In addition precipitation deficits began to mount as the region was nearing the end of the bulk of the rainy season with continued deficits.  As the 2013-2014 winter progresses, little rain has fallen across California. ||There continues to be significant media coverage on the on-going drought conditions. These reports include discussion of significant re-allocation of water resources from the east to west side of the San Joaquin Valley, farmers forgoing planting of some crops, a decrease in the snow-related tourism activity in the Southern Sierra Nevada, reduction in air quality due to persistent stagnant air, loss or reduction of ground water, and an unprecedented increase in fire danger across the Southern Sierra Nevada and Tehachapi Mountains. For the first time on record, red flag warnings were issued in January for not only the Southern Sierra Nevada and the Tehachapi Mountains but also the south end of the San Joaquin Valley.",16
510039,S SIERRA FOOTHILLS (ZONE), ,04/01/2014,0,Drought, , ,0,0,0,0,CA,PST-8, ,84480,Z,93,HNX,0,0,Emergency Manager, , , , , , , , ,04/30/2014,2359, , , , ,"","The California drought continued in full force during the month of April, 2014. Extreme to Exceptional drought was detected by the U.S. Drought Monitor for almost the entire Central California region.  This extent of exceptional drought is extremely unusual for California.  In addition precipitation deficits began to mount as the region was nearing the end of the bulk of the rainy season with continued deficits.  As the 2013-2014 winter progresses, little rain has fallen across California. ||There continues to be significant media coverage on the on-going drought conditions. These reports include discussion of significant re-allocation of water resources from the east to west side of the San Joaquin Valley, farmers forgoing planting of some crops, a decrease in the snow-related tourism activity in the Southern Sierra Nevada, reduction in air quality due to persistent stagnant air, loss or reduction of ground water, and an unprecedented increase in fire danger across the Southern Sierra Nevada and Tehachapi Mountains. For the first time on record, red flag warnings were issued in January for not only the Southern Sierra Nevada and the Tehachapi Mountains but also the south end of the San Joaquin Valley.",17
510050,S SIERRA FOOTHILLS (ZONE), ,05/01/2014,0,Drought, , ,0,0,0,0,CA,PST-8, ,84481,Z,93,HNX,0,0,Emergency Manager, , , , , , , , ,05/31/2014,2359, , , , ,"","The California drought continued in full force during the month of May, 2014. Extreme to Exceptional drought was detected by the U.S. Drought Monitor for almost the entire Central California region.  This extent of exceptional drought is extremely unusual for California.  In addition precipitation deficits continue to mount as the region was nearing the end of the rainy season with continued deficits.  As the 2013-2014 winter progresses, little rain has fallen across California. ||There continues to be significant media coverage on the on-going drought conditions. These reports include discussion of significant re-allocation of water resources from the east to west side of the San Joaquin Valley, farmers forgoing planting of some crops, a decrease in the snow-related tourism activity in the Southern Sierra Nevada, reduction in air quality due to persistent stagnant air, loss or reduction of ground water, and an unprecedented increase in fire danger across the Southern Sierra Nevada and Tehachapi Mountains. For the first time on record, red flag warnings were issued in January for not only the Southern Sierra Nevada and the Tehachapi Mountains but also the south end of the San Joaquin Valley.",18
